DATE,NGDPRSAXDCBRQ
1996-01-01,175527.6
1996-04-01,177502.2
1996-07-01,184128.3
1996-10-01,182357.3
1997-01-01,184248.2
1997-04-01,185272.8
1997-07-01,187587.3
1997-10-01,189150.0
1998-01-01,185426.6
1998-04-01,188538.8
1998-07-01,188546.8
1998-10-01,186374.2
1999-01-01,186712.8
1999-04-01,187665.2
1999-07-01,187706.6
1999-10-01,190360.0
2000-01-01,192373.7
2000-04-01,195057.6
2000-07-01,197337.3
2000-10-01,199746.3
2001-01-01,200577.1
2001-04-01,199542.5
2001-07-01,198476.7
2001-10-01,197955.7
2002-01-01,202730.6
2002-04-01,203437.3
2002-07-01,206179.2
2002-10-01,208261.9
2003-01-01,207328.9
2003-04-01,205607.5
2003-07-01,207529.9
2003-10-01,209685.3
2004-01-01,212589.8
2004-04-01,218479.9
2004-07-01,221209.2
2004-10-01,222910.5
2005-01-01,224747.2
2005-04-01,227413.4
2005-07-01,225925.6
2005-10-01,228735.8
2006-01-01,232628.1
2006-04-01,233262.5
2006-07-01,237002.1
2006-10-01,239833.6
2007-01-01,244547.9
2007-04-01,248522.5
2007-07-01,250953.4
2007-10-01,254918.1
2008-01-01,258055.7
2008-04-01,263462.5
2008-07-01,267614.7
2008-10-01,257533.5
2009-01-01,253940.3
2009-04-01,258487.8
2009-07-01,264565.8
2009-10-01,271333.6
2010-01-01,277126.7
2010-04-01,280479.0
2010-07-01,283006.0
2010-10-01,286939.2
2011-01-01,291050.3
2011-04-01,293790.0
2011-07-01,293199.8
2011-10-01,295631.3
2012-01-01,291791.1
2012-04-01,296858.7
2012-07-01,301929.8
2012-10-01,301992.4
2013-01-01,303650.4
2013-04-01,308048.7
2013-07-01,309414.7
2013-10-01,309811.8
2014-01-01,312525.1
2014-04-01,307821.6
2014-07-01,307732.9
2014-10-01,309305.1
2015-01-01,306839.9
2015-04-01,299543.4
2015-07-01,294787.6
2015-10-01,292447.6
2016-01-01,288021.0
2016-04-01,289087.2
2016-07-01,287640.0
2016-10-01,287013.4
2017-01-01,290170.9
2017-04-01,292415.5
2017-07-01,293328.5
2017-10-01,294518.4
2018-01-01,296384.9
2018-04-01,296231.3
2018-07-01,299292.0
2018-10-01,298261.8
2019-01-01,299482.2
2019-04-01,301158.9
2019-07-01,301480.3
2019-10-01,302538.6
2020-01-01,295396.1
2020-04-01,268914.9
2020-07-01,290403.7
2020-10-01,299623.4
2021-01-01,302822.6
2021-04-01,301977.0
2021-07-01,302156.5
2021-10-01,304497.9
2022-01-01,307915.4
2022-04-01,311710.6
